FILIAL;CLIENTE;LOJA;C‡DIGO;DESCRIÄ«O;TES BAIXA;ARMAZêM;MED;QDE;CUSTO UM; CUSTO TOTAL 
010107;999001;07;109157;MANGUEIRA GAS 1.25M INCON;675;02; UN ;1;5.272000; 5.27 
010107;999001;07;020126;VALVULA P/ PIA 20011 OVERT;675;02; UN ;1;3.336800; 3.34 
010107;999001;07;051286;FITA ADESIVA CRISTAL 45MMX;675;02; UN ;21;1.284669; 26.98 
010107;999001;07;051862;FITA DUREX 12MMX40M COM 3U;675;02; UN ;22;1.232100; 27.11 
010107;999001;07;067781;FITA ADESIVA MARROM 45MMX4;675;02; UN ;22;1.404951; 30.91 
010107;999001;07;120236;FOLHAS ENCAPAR VM XADREZ C;675;02; UN ;1;1.151900; 1.15 
010107;999001;07;120245;POLI ESCOLAR INCOL CROMUS;675;02; UN ;1;1.572700; 1.57 
010107;999001;07;129495;CARPETE EVA 8709 20 COMERC;675;02; UN ;1;9.990000; 9.99 
010107;999001;07;006066;P.SHAMPOO DE CANTO 60004 O;675;02; UN ;3;4.454052; 13.36 
010107;999001;07;009373;CORT BOX ESTAMP 135X178 61;675;02; UN ;1;1.459500; 1.46 
010107;999001;07;006014;P.SHAMPOO RET 60005 OVERTI;675;02; UN ;3;4.113198; 12.34 
010107;999001;07;076899;P. COMPRIM DIA E NOITE DK1;675;02; UN ;1;5.944800; 5.94 
010107;999001;07;011379;SACO LIXO 100L 207/1 ORLEP;675;02; UN ;15;1.054701; 15.82 
010107;999001;07;011380;SACO LIXO 15L 204/1 ORLEPL;675;02; UN ;2;0.931100; 1.86 
010107;999001;07;011381;SACO LIXO 50L 206/1 ORLEPL;675;02; UN ;4;1.040991; 4.16 
010107;999001;07;011382;SACO LIXO 30L 205/1 ORLEPL;675;02; UN ;4;0.862663; 3.45 
010107;999001;07;039949;KIT PRESENTE FACIL 88X1.20;675;02; UN ;1;3.379400; 3.38 
010107;999001;07;040011;KIT PRESENTE FACIL 15X29CM;675;02; UN ;1;0.972800; 0.97 
010107;999001;07;054321;POLI ESCOLAR 80X90 COLOR;675;02; UN ;10;1.275800; 12.76 
010107;999001;07;054322;POLI ESCOLAR 80X90 TRANSP;675;02; UN ;3;1.680000; 5.04 
010107;999001;07;096017;CAIXA ARQUIVO MORTO AMAREL;675;02; UN ;2;3.039700; 6.08 
010107;999001;07;103376;NATAL KIT SACO DE PRESENTE;675;02; UN ;2;0.974158; 1.95 
010107;999001;07;125131;GRF 94279 FWB;675;02; UN ;3;5.330000; 15.99 
010107;999001;07;125828;GRF PLAST 94281 FWB;675;02; UN ;5;6.390000; 31.95 
010107;999001;07;127703;GRF PLAST 600ML 94197 FWB;675;02; UN ;2;3.330000; 6.66 
010107;999001;07;000259;P GUARDANAPO ATTUALE BC 68;675;02; UN ;1;2.173196; 2.17 
010107;999001;07;000703;POTE CAFE ACUCAR COLHER 1.;675;02; UN ;2;6.301700; 12.60 
010107;999001;07;000811;POTE RED 640ML 545/2 SANRE;675;02; UN ;1;2.958900; 2.96 
010107;999001;07;000910;POTE 480/2 VAC FREEZER QUA;675;02; UN ;1;7.305000; 7.31 
010107;999001;07;001190;POTE RET CR PLAST 390/2 SA;675;02; UN ;1;4.567825; 4.57 
010107;999001;07;001303;P.TALHER CASAR 356 SANREMO;675;02; UN ;1;5.434260; 5.43 
010107;999001;07;001331;INJETOR TEMPEROS 350ML INJ;675;02; UN ;1;3.566100; 3.57 
010107;999001;07;001607;JARRA 780/2 VAC FREEZER OV;675;02; UN ;1;6.155000; 6.16 
010107;999001;07;001721;JARRA VAC FREEZER OVAL 2L;675;02; UN ;4;8.458300; 33.83 
010107;999001;07;009680;ESCOR 349 DE MASSA CASAR C;675;02; UN ;1;4.576700; 4.58 
010107;999001;07;018867;ESCOR DE PRATOS 424 RAINHA;675;02; UN ;4;4.180600; 16.72 
010107;999001;07;027333;JARRA CASUAL TAMPAˇ2L CR;675;02; UN ;1;6.634500; 6.63 
010107;999001;07;030968;CORTADOR DUPLA FACE CD01 K;675;02; UN ;3;3.073900; 9.22 
010107;999001;07;033396;POTE VERS QUAD 3L 8359 RAI;675;02; UN ;1;2.151300; 2.15 
010107;999001;07;034016;TIGELA PEQUENA COM TAMPA 0;675;02; UN ;1;2.450400; 2.45 
010107;999001;07;034018;TIGELA GRANDE TAMPA 3L DEL;675;02; UN ;1;7.105800; 7.11 
010107;999001;07;046391;TIGELA MELAMINE STANDART 1;675;02; UN ;1;2.645300; 2.65 
010107;999001;07;046398;TIGELA MELAMINE STAMDART 1;675;02; UN ;1;5.958359; 5.96 
010107;999001;07;046404;CONCHA MELAMINE 1101 YANGZ;675;02; UN ;8;1.083100; 8.66 
010107;999001;07;048287;SALADEIRA TRIANG 2.5L ESSE;675;02; UN ;4;4.518835; 18.08 
010107;999001;07;050206;COPO 500 ML CASUAL CR;675;02; UN ;1;1.612470; 1.61 
010107;999001;07;054635;ACUCAREIRO CRISTAL DELTA;675;02; UN ;1;3.076700; 3.08 
010107;999001;07;055175;JARRA 3.8L 792/2 SANREMO;675;02; UN ;1;11.969400; 11.97 
010107;999001;07;055479;POTE DECORA HT. RET 3L PLA;675;02; UN ;1;5.865000; 5.87 
010107;999001;07;059610;COPO COQUETEL 55OML SORT A;675;02; UN ;4;1.957300; 7.83 
010107;999001;07;059736;COPO LONG DRINK BALADA 330;675;02; UN ;1;1.439600; 1.44 
010107;999001;07;064317;P GRF DEC HAPPY HOUR PLASU;675;02; UN ;1;10.277500; 10.28 
010107;999001;07;069802;COPO LONG DRINK BALADA NEO;675;02; UN ;9;1.794000; 16.15 
010107;999001;07;070404;LEGUMIX PANELA COZIMENTO 1;675;02; UN ;1;5.702511; 5.70 
010107;999001;07;070859;CREMEIRA TRIANG RETRO 250M;675;02; UN ;1;1.493100; 1.49 
010107;999001;07;071392;SERVE PAO DECORA FLORAL PL;675;02; UN ;1;11.205000; 11.21 
010107;999001;07;077174;POTE DECORA HT RET 1.43ML;675;02; UN ;2;4.321700; 8.64 
010107;999001;07;077771;PEGA PALITO KEITA;675;02; UN ;3;3.223200; 9.67 
010107;999001;07;078647;TACA ESPUMANTE FUN 160 ML;675;02; UN ;3;2.628425; 7.89 
010107;999001;07;079511;QUEIJEIRA DECOR ROSCA CAFE;675;02; UN ;1;6.732500; 6.73 
010107;999001;07;080827;COPO COQUETEL 550ML TRANSP;675;02; UN ;3;1.957300; 5.87 
010107;999001;07;080836;COPO TWISTER 400ML 1308-9;675;02; UN ;2;1.881500; 3.76 
